jvs_id,lam5,lam10,lam20,lam40,Male_or_Female,minf0[Hz],maxf0[Hz],min_f0,mean_f0,max_f0,hnr,mean_f1,mean_f2,rms_mean,rms_std,rms_min,rms_max,rms_dynamic_range,odd_ratio_1,even_ratio_1,odd_ratio_2,even_ratio_2,filepath
jvs082,0,0,4,7,F,115,380,83.257,227.854,336.618,17.098,688.39,1807.127,0.038,0.031,0.01,0.101,19.96,79.876,20.124,79.4,20.6,data/raw/jvs_ver1/jvs082/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs083,2,9,7,2,F,135,420,78.233,270.213,358.095,20.441,789.111,1944.743,0.029,0.03,0.01,0.107,20.413,92.208,7.792,91.421,8.579,data/raw/jvs_ver1/jvs083/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs084,0,2,6,1,F,115,400,69.194,233.341,348.475,17.772,909.35,1978.741,0.022,0.027,0.012,0.09,17.834,70.841,29.159,80.213,19.787,data/raw/jvs_ver1/jvs084/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs085,0,1,4,1,F,125,410,68.771,247.434,345.468,20.498,722.234,1856.233,0.035,0.023,0.01,0.08,17.991,70.041,29.959,84.409,15.591,data/raw/jvs_ver1/jvs085/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs090,0,9,3,8,F,140,390,77.972,274.434,350.926,19.536,753.685,1799.231,0.029,0.02,0.011,0.07,16.045,83.642,16.358,93.879,6.121,data/raw/jvs_ver1/jvs090/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs091,2,3,4,8,F,115,330,137.606,235.172,297.218,21.768,668.978,1796.993,0.036,0.031,0.01,0.109,20.568,90.427,9.573,92.225,7.775,data/raw/jvs_ver1/jvs091/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs092,3,5,10,7,F,110,380,101.39,222.095,364.093,17.212,762.357,1730.424,0.045,0.037,0.01,0.112,20.703,67.597,32.403,74.366,25.634,data/raw/jvs_ver1/jvs092/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs093,3,4,8,7,F,130,470,81.753,298.093,398.337,18.956,831.902,1846.936,0.053,0.039,0.011,0.132,21.768,70.1,29.9,73.815,26.185,data/raw/jvs_ver1/jvs093/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs094,0,9,9,2,F,125,390,67.61,233.429,326.559,17.494,836.171,1968.263,0.025,0.024,0.011,0.073,16.529,91.055,8.945,97.2,2.8,data/raw/jvs_ver1/jvs094/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs095,2,3,4,8,F,125,370,128.124,242.733,318.836,18.773,673.012,1862.808,0.035,0.025,0.01,0.099,19.727,87.833,12.167,82.884,17.116,data/raw/jvs_ver1/jvs095/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs096,0,9,3,8,F,135,410,70.248,257.227,353.998,20.511,725.526,1802.674,0.023,0.019,0.011,0.059,14.908,87.824,12.176,94.335,5.665,data/raw/jvs_ver1/jvs096/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
