jvs_id,Male_or_Female,minf0[Hz],maxf0[Hz],min_f0,mean_f0,max_f0,hnr,mean_f1,mean_f2,rms_mean,rms_std,rms_min,rms_max,rms_dynamic_range,odd_ratio_1,even_ratio_1,odd_ratio_2,even_ratio_2,filepath
jvs011,M,70,310,67.901,169.397,267.963,16.660,698.512,1772.303,0.031,0.027,0.010,0.105,20.193,84.484,15.516,80.128,19.872,../data/raw/jvs_ver1/jvs011/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs012,M,70,240,67.380,129.073,199.554,15.022,729.487,1789.121,0.030,0.028,0.011,0.092,18.620,63.408,36.592,59.983,40.017,../data/raw/jvs_ver1/jvs012/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs013,M,70,290,76.110,168.865,244.618,15.539,783.946,1816.775,0.043,0.038,0.011,0.128,21.128,58.536,41.464,65.709,34.291,../data/raw/jvs_ver1/jvs013/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs014,F,130,470,125.245,294.669,466.852,18.309,801.013,1771.255,0.034,0.026,0.011,0.092,18.331,74.446,25.554,62.984,37.016,../data/raw/jvs_ver1/jvs014/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs015,F,130,435,73.386,256.788,344.102,18.102,743.637,1828.499,0.041,0.031,0.010,0.100,19.830,83.395,16.605,75.098,24.902,../data/raw/jvs_ver1/jvs015/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs016,F,110,340,75.595,217.183,308.145,18.567,701.607,1756.096,0.051,0.037,0.011,0.132,21.735,76.910,23.090,86.068,13.932,../data/raw/jvs_ver1/jvs016/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs017,F,120,390,134.707,228.575,314.337,18.278,754.158,1698.016,0.049,0.032,0.011,0.111,19.997,84.052,15.948,82.169,17.831,../data/raw/jvs_ver1/jvs017/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs018,F,115,380,73.780,227.690,335.727,19.863,755.622,1830.563,0.046,0.042,0.011,0.159,23.197,87.982,12.018,83.774,16.226,../data/raw/jvs_ver1/jvs018/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs019,F,125,410,69.367,250.864,351.721,17.123,747.017,1811.788,0.034,0.026,0.010,0.095,19.431,83.453,16.547,93.600,6.400,../data/raw/jvs_ver1/jvs019/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs020,M,70,280,71.748,148.131,224.071,13.503,729.319,1751.796,0.035,0.028,0.012,0.094,17.752,63.294,36.706,48.485,51.515,../data/raw/jvs_ver1/jvs020/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs021,M,70,220,62.963,98.688,142.425,14.176,699.276,1718.160,0.029,0.026,0.010,0.103,20.081,50.508,49.492,47.247,52.753,../data/raw/jvs_ver1/jvs021/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs022,M,70,250,64.326,131.766,200.423,14.967,673.952,1713.245,0.036,0.031,0.010,0.116,20.945,75.236,24.764,57.760,42.240,../data/raw/jvs_ver1/jvs022/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs023,M,70,260,65.398,135.992,195.191,12.553,820.517,1982.769,0.026,0.019,0.010,0.061,15.587,58.222,41.778,65.699,34.301,../data/raw/jvs_ver1/jvs023/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs024,F,130,440,86.440,259.850,385.898,18.075,831.975,1821.869,0.026,0.023,0.011,0.083,17.654,71.580,28.420,53.631,46.369,../data/raw/jvs_ver1/jvs024/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs025,F,115,370,76.455,241.866,340.439,19.100,737.881,1759.301,0.032,0.026,0.010,0.096,19.410,85.596,14.404,67.225,32.775,../data/raw/jvs_ver1/jvs025/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs026,F,130,450,89.995,294.627,387.098,17.354,761.809,1818.047,0.032,0.020,0.011,0.076,17.108,77.522,22.478,71.273,28.727,../data/raw/jvs_ver1/jvs026/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs027,F,120,400,69.458,248.725,358.064,17.849,683.681,1845.724,0.041,0.027,0.010,0.097,19.585,81.599,18.401,84.702,15.298,../data/raw/jvs_ver1/jvs027/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs028,M,70,280,69.363,120.471,184.049,16.230,551.684,1583.880,0.048,0.026,0.011,0.089,18.198,51.966,48.034,53.506,46.494,../data/raw/jvs_ver1/jvs028/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs029,F,120,360,75.964,235.154,331.828,19.259,651.235,1746.210,0.036,0.028,0.010,0.093,19.178,89.353,10.647,84.540,15.460,../data/raw/jvs_ver1/jvs029/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs030,F,130,420,81.891,250.708,361.849,19.162,746.491,1843.729,0.040,0.038,0.010,0.126,21.671,72.391,27.609,76.635,23.365,../data/raw/jvs_ver1/jvs030/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs031,M,70,290,63.629,128.304,191.907,14.544,672.278,1778.738,0.037,0.026,0.011,0.088,17.911,78.478,21.522,77.534,22.466,../data/raw/jvs_ver1/jvs031/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs032,M,70,335,64.234,157.380,255.175,12.862,698.865,1839.642,0.031,0.024,0.011,0.079,16.853,66.586,33.414,63.827,36.173,../data/raw/jvs_ver1/jvs032/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs033,M,70,250,73.142,150.832,283.557,14.106,760.041,1838.085,0.038,0.037,0.011,0.136,21.566,73.626,26.374,46.961,53.039,../data/raw/jvs_ver1/jvs033/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs034,M,70,250,68.938,125.565,215.954,14.262,744.646,1863.234,0.034,0.029,0.010,0.089,18.900,63.278,36.722,43.577,56.423,../data/raw/jvs_ver1/jvs034/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs035,F,110,360,76.452,236.336,328.014,21.886,876.835,1990.372,0.027,0.031,0.012,0.104,18.658,82.391,17.609,90.269,9.731,../data/raw/jvs_ver1/jvs035/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs036,F,135,440,159.472,281.655,370.591,17.514,859.917,1875.886,0.030,0.025,0.011,0.079,17.462,62.138,37.862,76.952,23.048,../data/raw/jvs_ver1/jvs036/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs037,M,70,240,63.134,109.554,168.706,13.707,652.311,1724.429,0.043,0.028,0.011,0.100,19.316,51.720,48.280,45.553,54.447,../data/raw/jvs_ver1/jvs037/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs038,F,130,410,80.012,246.344,358.784,18.305,727.528,1868.846,0.031,0.020,0.010,0.065,16.194,80.238,19.762,89.077,10.923,../data/raw/jvs_ver1/jvs038/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs039,F,120,430,74.236,260.983,391.894,18.909,763.285,1798.357,0.033,0.024,0.010,0.075,17.310,88.999,11.001,88.182,11.818,../data/raw/jvs_ver1/jvs039/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs040,F,120,430,77.797,251.080,359.455,19.797,690.460,1789.353,0.042,0.027,0.013,0.099,17.548,70.637,29.363,80.039,19.961,../data/raw/jvs_ver1/jvs040/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs041,M,70,300,78.613,150.511,234.552,18.082,704.252,1755.906,0.036,0.028,0.011,0.118,20.794,72.802,27.198,77.981,22.019,../data/raw/jvs_ver1/jvs041/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs042,M,70,220,69.032,134.952,185.246,17.213,668.392,1697.155,0.043,0.028,0.010,0.095,19.220,59.812,40.188,74.468,25.532,../data/raw/jvs_ver1/jvs042/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs043,F,120,350,89.705,233.722,306.165,21.255,659.858,1839.068,0.034,0.025,0.011,0.091,18.579,85.683,14.317,88.715,11.285,../data/raw/jvs_ver1/jvs043/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs044,M,70,240,78.488,130.117,181.744,15.152,745.952,1867.481,0.021,0.018,0.010,0.061,15.533,81.043,18.957,86.163,13.837,../data/raw/jvs_ver1/jvs044/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs045,M,70,280,71.192,147.141,226.274,13.234,752.299,1851.801,0.044,0.040,0.010,0.126,21.866,68.829,31.171,51.422,48.578,../data/raw/jvs_ver1/jvs045/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs046,M,70,290,74.206,134.817,183.520,14.965,710.023,1701.975,0.040,0.031,0.011,0.093,18.601,54.188,45.812,66.248,33.752,../data/raw/jvs_ver1/jvs046/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs047,M,70,330,77.805,144.775,213.840,17.697,687.901,1737.626,0.040,0.038,0.011,0.132,21.954,85.875,14.125,88.847,11.153,../data/raw/jvs_ver1/jvs047/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs048,M,70,240,65.642,113.063,183.216,14.355,655.265,1760.557,0.019,0.014,0.010,0.052,13.974,56.559,43.441,75.072,24.928,../data/raw/jvs_ver1/jvs048/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs049,M,70,250,69.013,125.873,180.800,16.709,707.128,1717.255,0.032,0.026,0.010,0.081,17.851,61.100,38.900,69.558,30.442,../data/raw/jvs_ver1/jvs049/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs050,M,70,300,65.687,122.554,182.503,13.737,656.232,1685.549,0.038,0.024,0.011,0.085,18.100,60.576,39.424,54.506,45.494,../data/raw/jvs_ver1/jvs050/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs051,F,130,420,87.540,272.541,378.183,19.407,743.867,1852.369,0.029,0.019,0.010,0.063,15.922,84.876,15.124,89.437,10.563,../data/raw/jvs_ver1/jvs051/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs052,M,70,300,66.000,162.308,259.806,15.283,746.070,1796.840,0.045,0.040,0.010,0.141,22.915,68.569,31.431,78.057,21.943,../data/raw/jvs_ver1/jvs052/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs053,F,125,420,101.273,250.026,351.669,21.016,690.817,1766.096,0.020,0.015,0.010,0.051,13.903,87.716,12.284,91.139,8.861,../data/raw/jvs_ver1/jvs053/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs054,M,70,320,69.431,161.975,268.410,16.333,718.286,1726.981,0.040,0.028,0.010,0.089,18.921,47.798,52.202,72.979,27.021,../data/raw/jvs_ver1/jvs054/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs055,F,120,410,71.997,248.375,353.944,19.259,713.344,1706.556,0.046,0.038,0.014,0.129,19.490,89.975,10.025,90.748,9.252,../data/raw/jvs_ver1/jvs055/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs056,F,120,410,68.471,235.784,341.550,21.808,654.784,1790.536,0.042,0.033,0.010,0.134,22.497,86.617,13.383,82.721,17.279,../data/raw/jvs_ver1/jvs056/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs057,F,120,410,94.284,228.029,318.341,18.362,652.477,1883.189,0.045,0.030,0.011,0.104,19.826,72.511,27.489,72.085,27.915,../data/raw/jvs_ver1/jvs057/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs058,F,110,420,102.200,239.166,355.306,20.550,716.379,1818.994,0.034,0.026,0.010,0.095,19.304,94.306,5.694,97.347,2.653,../data/raw/jvs_ver1/jvs058/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs059,F,115,420,79.207,227.981,335.043,19.170,733.788,1802.449,0.048,0.036,0.011,0.115,20.662,60.240,39.760,71.478,28.522,../data/raw/jvs_ver1/jvs059/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs060,F,130,440,81.692,247.198,338.648,18.758,720.812,1776.600,0.031,0.021,0.010,0.073,17.084,72.836,27.164,80.184,19.816,../data/raw/jvs_ver1/jvs060/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs061,F,140,470,66.993,255.520,370.590,19.592,725.936,1805.790,0.019,0.015,0.010,0.058,15.121,66.417,33.583,75.860,24.140,../data/raw/jvs_ver1/jvs061/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs062,F,115,390,79.626,238.067,333.912,17.350,826.401,1815.195,0.026,0.020,0.011,0.081,17.700,63.152,36.848,82.291,17.709,../data/raw/jvs_ver1/jvs062/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs063,F,130,390,77.392,252.803,345.612,17.412,697.389,1775.525,0.031,0.021,0.010,0.067,16.366,80.931,19.069,90.719,9.281,../data/raw/jvs_ver1/jvs063/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs064,F,120,350,92.920,226.766,280.367,18.793,802.863,1864.953,0.042,0.032,0.010,0.102,20.060,60.903,39.097,73.773,26.227,../data/raw/jvs_ver1/jvs064/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs065,F,120,470,67.869,255.925,400.428,17.874,738.526,1837.315,0.032,0.025,0.010,0.099,19.503,83.754,16.246,86.063,13.937,../data/raw/jvs_ver1/jvs065/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs066,F,120,480,94.779,260.151,400.158,18.760,733.369,1703.194,0.054,0.039,0.011,0.138,22.140,80.336,19.664,79.689,20.311,../data/raw/jvs_ver1/jvs066/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs067,F,120,450,63.791,243.340,400.621,18.070,700.211,1809.403,0.035,0.032,0.011,0.120,20.962,94.004,5.996,87.620,12.380,../data/raw/jvs_ver1/jvs067/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs068,M,70,260,64.921,128.926,188.393,14.923,742.338,1815.930,0.024,0.020,0.010,0.067,16.273,64.704,35.296,64.951,35.049,../data/raw/jvs_ver1/jvs068/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs069,F,120,420,133.815,236.428,319.633,20.078,700.584,1771.582,0.040,0.025,0.010,0.083,18.033,81.337,18.663,85.778,14.222,../data/raw/jvs_ver1/jvs069/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs070,M,70,290,63.845,137.713,217.299,13.547,726.623,1731.970,0.035,0.028,0.012,0.096,18.000,71.192,28.808,66.844,33.156,../data/raw/jvs_ver1/jvs070/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs071,M,70,230,64.828,112.339,161.654,15.250,829.452,1885.771,0.027,0.027,0.010,0.088,18.901,55.378,44.622,60.152,39.848,../data/raw/jvs_ver1/jvs071/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs072,F,125,420,96.367,249.153,352.123,19.110,696.548,1717.045,0.029,0.020,0.010,0.065,15.901,81.016,18.984,90.034,9.966,../data/raw/jvs_ver1/jvs072/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs073,M,70,280,73.470,136.025,223.900,16.011,711.172,1746.790,0.033,0.024,0.010,0.080,17.853,70.564,29.436,64.896,35.104,../data/raw/jvs_ver1/jvs073/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs074,M,70,280,67.153,120.253,188.146,16.941,673.718,1735.108,0.046,0.039,0.010,0.130,22.053,52.447,47.553,48.589,51.411,../data/raw/jvs_ver1/jvs074/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs075,M,70,300,80.201,168.339,250.149,16.131,681.481,1693.788,0.047,0.039,0.011,0.134,21.537,65.473,34.527,65.506,34.494,../data/raw/jvs_ver1/jvs075/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs076,M,70,290,67.551,156.299,243.529,14.421,757.690,1843.277,0.036,0.031,0.010,0.104,19.914,82.752,17.248,50.432,49.568,../data/raw/jvs_ver1/jvs076/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs077,M,70,280,82.614,166.756,220.066,14.731,684.135,1763.986,0.034,0.021,0.011,0.068,16.175,64.939,35.061,48.571,51.429,../data/raw/jvs_ver1/jvs077/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs078,M,70,220,69.216,118.564,169.304,14.403,731.013,1798.103,0.021,0.019,0.010,0.065,16.214,55.733,44.267,58.162,41.838,../data/raw/jvs_ver1/jvs078/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs079,M,70,240,73.008,136.028,187.411,14.443,764.550,1841.960,0.026,0.023,0.011,0.085,18.057,45.258,54.742,53.882,46.118,../data/raw/jvs_ver1/jvs079/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs080,M,70,300,64.295,152.964,233.131,14.134,729.503,1792.739,0.044,0.035,0.010,0.131,22.314,68.165,31.835,51.663,48.337,../data/raw/jvs_ver1/jvs080/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs081,M,70,250,72.138,139.749,197.507,13.838,703.273,1734.727,0.045,0.031,0.011,0.098,19.068,65.359,34.641,53.594,46.406,../data/raw/jvs_ver1/jvs081/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs082,F,115,380,83.257,227.854,336.618,17.098,688.390,1807.127,0.038,0.031,0.010,0.101,19.960,79.876,20.124,79.400,20.600,../data/raw/jvs_ver1/jvs082/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs083,F,135,420,78.233,270.213,358.095,20.441,789.111,1944.743,0.029,0.030,0.010,0.107,20.413,92.208,7.792,91.421,8.579,../data/raw/jvs_ver1/jvs083/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs084,F,115,400,69.194,233.341,348.475,17.772,909.350,1978.741,0.022,0.027,0.012,0.090,17.834,70.841,29.159,80.213,19.787,../data/raw/jvs_ver1/jvs084/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs085,F,125,410,68.771,247.434,345.468,20.498,722.234,1856.233,0.035,0.023,0.010,0.080,17.991,70.041,29.959,84.409,15.591,../data/raw/jvs_ver1/jvs085/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs086,M,70,290,69.430,138.659,228.931,14.741,771.320,1798.789,0.033,0.033,0.010,0.118,21.224,53.066,46.934,44.411,55.589,../data/raw/jvs_ver1/jvs086/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs087,M,70,300,73.328,155.879,218.054,15.875,788.299,1842.801,0.049,0.041,0.010,0.119,21.453,70.811,29.189,48.892,51.108,../data/raw/jvs_ver1/jvs087/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs088,M,70,260,68.170,133.113,201.096,14.396,715.904,1816.956,0.032,0.028,0.010,0.088,18.818,73.563,26.437,70.767,29.233,../data/raw/jvs_ver1/jvs088/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs089,M,70,240,68.495,134.268,199.760,15.463,692.986,1756.529,0.023,0.016,0.011,0.065,15.438,54.236,45.764,71.603,28.397,../data/raw/jvs_ver1/jvs089/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs090,F,140,390,77.972,274.434,350.926,19.536,753.685,1799.231,0.029,0.020,0.011,0.070,16.045,83.642,16.358,93.879,6.121,../data/raw/jvs_ver1/jvs090/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs091,F,115,330,137.606,235.172,297.218,21.768,668.978,1796.993,0.036,0.031,0.010,0.109,20.568,90.427,9.573,92.225,7.775,../data/raw/jvs_ver1/jvs091/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs092,F,110,380,101.390,222.095,364.093,17.212,762.357,1730.424,0.045,0.037,0.010,0.112,20.703,67.597,32.403,74.366,25.634,../data/raw/jvs_ver1/jvs092/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs093,F,130,470,81.753,298.093,398.337,18.956,831.902,1846.936,0.053,0.039,0.011,0.132,21.768,70.100,29.900,73.815,26.185,../data/raw/jvs_ver1/jvs093/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs094,F,125,390,67.610,233.429,326.559,17.494,836.171,1968.263,0.025,0.024,0.011,0.073,16.529,91.055,8.945,97.200,2.800,../data/raw/jvs_ver1/jvs094/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs095,F,125,370,128.124,242.733,318.836,18.773,673.012,1862.808,0.035,0.025,0.010,0.099,19.727,87.833,12.167,82.884,17.116,../data/raw/jvs_ver1/jvs095/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs096,F,135,410,70.248,257.227,353.998,20.511,725.526,1802.674,0.023,0.019,0.011,0.059,14.908,87.824,12.176,94.335,5.665,../data/raw/jvs_ver1/jvs096/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs097,M,70,305,68.843,165.366,254.490,16.432,743.488,1813.133,0.026,0.021,0.010,0.068,16.642,65.831,34.169,69.059,30.941,../data/raw/jvs_ver1/jvs097/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs098,M,70,340,74.981,180.807,258.379,14.547,771.233,1764.961,0.028,0.023,0.011,0.091,18.486,64.241,35.759,54.711,45.289,../data/raw/jvs_ver1/jvs098/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs099,M,70,300,65.431,170.456,261.102,16.994,724.889,1744.935,0.035,0.027,0.010,0.094,19.207,78.264,21.736,73.453,26.547,../data/raw/jvs_ver1/jvs099/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
jvs100,M,70,240,62.961,132.461,236.134,14.183,725.688,1712.919,0.026,0.022,0.010,0.075,17.258,52.555,47.445,47.423,52.577,../data/raw/jvs_ver1/jvs100/parallel100/wav24kHz16bit/VOICEACTRESS100_001.wav
